Year,State,Divorce_Rate
2012.0,NY       ,5.90380716607
2013.0,NY       ,5.08245609563
2014.0,NY       ,5.1356253439
2008.0,OH,7.6152132945
2009.0,OH,7.3432947711
2010.0,OH,7.57608001702
2011.0,OH,6.83988752185
2012.0,OH,7.4029219367
2013.0,OH,6.76687277433
2014.0,OH,6.63159328498
2008.0,OK       ,10.370533381
2009.0,OK       ,9.74990547183
2010.0,OK       ,9.27494152754
2011.0,OK       ,9.80079681275
2012.0,OK       ,9.5428078499
2013.0,OK       ,8.3723684919
2014.0,OK       ,8.23210790229
2008.0,OR         ,8.06018269747
2009.0,OR         ,8.04403048264
2010.0,OR         ,7.72150582363
2011.0,OR         ,7.37516005122
2012.0,OR         ,7.89331132148
2013.0,OR         ,7.57460220629
2014.0,OR         ,6.99105145414
2008.0,PA   ,6.31819416266
2009.0,PA   ,5.91211505518
2010.0,PA   ,6.01786254438
2011.0,PA   ,5.36559380525
2012.0,PA   ,6.01842852144
2013.0,PA   ,5.28111417488
2014.0,PA   ,5.45913858234
2008.0,RI   ,6.58023963858
2009.0,RI   ,7.66577232656
2010.0,RI   ,6.3882532418
2011.0,RI   ,7.21888014808
2012.0,RI   ,6.22966062297
2013.0,RI   ,6.49839894519
2014.0,RI   ,5.6465796538
2008.0,SC ,7.25248403123
2009.0,SC ,6.60461669246
2010.0,SC ,6.66310731447
2011.0,SC ,6.77686997277
2012.0,SC ,6.90689422102
2013.0,SC ,6.54591674611
2014.0,SC ,7.11555921539
2008.0,SD   ,5.71002979146
2009.0,SD   ,5.19323671498
2010.0,SD   ,6.92503948487
2011.0,SD   ,8.55513307985
2012.0,SD   ,6.20525059666
2013.0,SD   ,5.03432494279
2014.0,SD   ,4.75307210758
2008.0,TN      ,9.0571074459
2009.0,TN      ,8.47002307133
2010.0,TN      ,9.41569176993
2011.0,TN      ,9.02629261542
2012.0,TN      ,9.08581741241
2013.0,TN      ,8.59581261129
2014.0,TN      ,8.3595203954
2008.0,TX          ,8.4368008471
2009.0,TX          ,8.02766249407
2010.0,TX          ,8.1533652093
2011.0,TX          ,8.11286328685
2012.0,TX          ,7.88264333447
2013.0,TX          ,7.60649687104
2014.0,TX          ,7.27000231479
2008.0,UT,7.72215175707
2009.0,UT,6.63587036222
2010.0,UT,8.82165379437
2011.0,UT,6.95470433498
2012.0,UT,7.80169509557
2013.0,UT,6.11040149135
2014.0,UT,6.6629456499
2008.0,VA       ,8.01880798068
2009.0,VA       ,7.52406172022
2010.0,VA       ,7.65213013656
2011.0,VA       ,7.44791986726
2012.0,VA       ,6.95450594031
2013.0,VA       ,6.91199845865
2014.0,VA       ,6.30748384157
2008.0,VT        ,8.83775220944
2009.0,VT        ,8.29538061158
2010.0,VT        ,6.58204043253
2011.0,VT        ,6.9612590799
2012.0,VT        ,6.40927819319
2013.0,VT        ,5.00939261115
2014.0,VT        ,5.80847723705
2008.0,WA     ,8.54923072217
2009.0,WA     ,7.72508922252
2010.0,WA     ,7.6423102036
2011.0,WA     ,8.62933975517
2012.0,WA     ,7.44578000317
2013.0,WA     ,6.98346098027
2014.0,WA     ,6.69971671388
2008.0,WI      ,6.09923716583
2009.0,WI      ,6.16437196227
2010.0,WI      ,6.03580210823
2011.0,WI      ,5.7031342003
2012.0,WI      ,6.15552971753
2013.0,WI      ,5.70394152606
2014.0,WI      ,5.34594954653
2008.0,WV  ,8.46519862786
2009.0,WV  ,8.49175478004
2010.0,WV  ,8.45503458878
2011.0,WV  ,8.98448135039
2012.0,WV  ,9.29469655549
2013.0,WV  ,7.88263630392
2014.0,WV  ,9.22266139657
2008.0,WY        ,9.07441016334
2009.0,WY        ,8.84795955218
2010.0,WY        ,9.18079096045
2011.0,WY        ,8.62366333218
2012.0,WY        ,9.61538461538
2013.0,WY        ,7.54975978037
2014.0,WY        ,6.35738831615
